YearLevel,Section,Course,Session,Room,Day,Time,Instructor
BSCS 1-7,BSCS 1-7,COSC 50 - Discrete Structures I,Lecture,ITC 403,Thursday,07:00-10:00,Oscar Manalo
BSCS 1-7,BSCS 1-7,DCIT 21 - Introduction to Computing,Lecture,ITC 408,Thursday,07:00-09:00,Quebec Padilla
BSCS 1-7,BSCS 1-7,DCIT 21 - Introduction to Computing,Lab,CCL 402,Thursday,15:00-18:00,Quebec Padilla
BSCS 1-7,BSCS 1-7,DCIT 22 - Computer Programming 1,Lecture,ITC 501,Tuesday,07:00-08:00,Delta Chua
BSCS 1-7,BSCS 1-7,CVSU 101 - Institutional Orientation,Lecture,OS,Tuesday,16:00-17:00,Lima Salazar
BSCS 1-7,BSCS 1-7,GNED 02 - Ethics,Lecture,ITC 403,Wednesday,11:00-14:00,Sample Instructor
BSCS 1-7,BSCS 1-7,GNED 05 - Purposive Communication,Lecture,ITC 502,Wednesday,11:00-14:00,Sample Instructor
BSCS 1-7,BSCS 1-7,GNED 11 - Kontekstwalisadong Komunikasyon sa Filipino,Lecture,ITC 201,Tuesday,08:00-11:00,Sample Instructor
BSCS 1-7,BSCS 1-7,FITT 1 - Movement Enhancement,Lecture,OS,Saturday,07:00-09:00,Sample Instructor
BSCS 1-7,BSCS 1-7,NSTP 1 - National Service Training Program 1,Lecture,ITC 404,Friday,10:00-13:00,Sample Instructor
