YearLevel,Section,Course,Session,Room,Day,Time,Instructor
BSCS 2-2,BSCS 2-2,COSC 55 - Discrete Structures II,Lecture,ITC 201,Monday,15:00-18:00,Uniform Fabros
BSCS 2-2,BSCS 2-2,COSC 60 - Digital Logic Design,Lecture,ITC 404,Tuesday,11:00-13:00,Oscar Manalo
BSCS 2-2,BSCS 2-2,COSC 60 - Digital Logic Design,Lab,CCL 305,Thursday,08:00-11:00,Badger Abad
BSCS 2-2,BSCS 2-2,DCIT 50 - Object Oriented Programming,Lecture,ITC 505,Thursday,14:00-16:00,Hotel Rivera
BSCS 2-2,BSCS 2-2,DCIT 50 - Object Oriented Programming,Lab,CCL 303,Monday,07:00-10:00,Hotel Rivera
BSCS 2-2,BSCS 2-2,DCIT 24 - Information Management,Lecture,ITC 401,Thursday,13:00-15:00,Bravo Santos
BSCS 2-2,BSCS 2-2,DCIT 24 - Information Management,Lab,CCL 306,Thursday,07:00-10:00,Bravo Santos
BSCS 2-2,BSCS 2-2,INSY 50 - Fundamentals of Information Systems,Lecture,OS,Tuesday,07:00-10:00,Papa Velasco
BSCS 2-2,BSCS 2-2,FITT 3 - Physical Activities towards Health and Fitness 1,Lecture,ITC 501,Friday,08:00-10:00,Sample Instructor
BSCS 2-2,BSCS 2-2,MATH 1 - Analytic Geometry,Lecture,ITC 403,Tuesday,07:00-10:00,Sample Instructor
