YearLevel,Section,Course,Session,Room,Day,Time,Instructor
BSCS 1-5,BSCS 1-5,COSC 50 - Discrete Structures I,Lecture,OS,Wednesday,08:00-11:00,Mike Domingo
BSCS 1-5,BSCS 1-5,DCIT 21 - Introduction to Computing,Lecture,ITC 503,Monday,07:00-09:00,November Sy
BSCS 1-5,BSCS 1-5,DCIT 21 - Introduction to Computing,Lab,CCL 402,Wednesday,12:00-15:00,Quebec Padilla
BSCS 1-5,BSCS 1-5,DCIT 22 - Computer Programming 1,Lecture,OS,Wednesday,08:00-09:00,Delta Chua
BSCS 1-5,BSCS 1-5,CVSU 101 - Institutional Orientation,Lecture,ITC 201,Monday,15:00-16:00,Lima Salazar
BSCS 1-5,BSCS 1-5,GNED 02 - Ethics,Lecture,ITC 501,Thursday,12:00-15:00,Sample Instructor
BSCS 1-5,BSCS 1-5,GNED 05 - Purposive Communication,Lecture,ITC 408,Tuesday,10:00-13:00,Sample Instructor
BSCS 1-5,BSCS 1-5,GNED 11 - Kontekstwalisadong Komunikasyon sa Filipino,Lecture,ITC 501,Wednesday,09:00-12:00,Sample Instructor
BSCS 1-5,BSCS 1-5,FITT 1 - Movement Enhancement,Lecture,ITC 402,Saturday,12:00-14:00,Sample Instructor
BSCS 1-5,BSCS 1-5,NSTP 1 - National Service Training Program 1,Lecture,ITC 404,Saturday,07:00-10:00,Sample Instructor
