YearLevel,Section,Course,Session,Room,Day,Time,Instructor
BSCS 1-2,BSCS 1-2,COSC 50 - Discrete Structures I,Lecture,ITC 404,Monday,13:00-16:00,Foxtrot Lim
BSCS 1-2,BSCS 1-2,DCIT 21 - Introduction to Computing,Lecture,ITC 502,Thursday,10:00-12:00,Kilo Dela Cruz
BSCS 1-2,BSCS 1-2,DCIT 21 - Introduction to Computing,Lab,CCL 402,Thursday,12:00-15:00,Kilo Dela Cruz
BSCS 1-2,BSCS 1-2,DCIT 22 - Computer Programming 1,Lecture,ITC 401,Wednesday,07:00-08:00,Delta Chua
BSCS 1-2,BSCS 1-2,CVSU 101 - Institutional Orientation,Lecture,ITC 504,Wednesday,12:00-13:00,India Ramos
BSCS 1-2,BSCS 1-2,GNED 02 - Ethics,Lecture,ITC 401,Tuesday,12:00-15:00,Sample Instructor
BSCS 1-2,BSCS 1-2,GNED 05 - Purposive Communication,Lecture,ITC 503,Thursday,08:00-11:00,Sample Instructor
BSCS 1-2,BSCS 1-2,GNED 11 - Kontekstwalisadong Komunikasyon sa Filipino,Lecture,ITC 505,Tuesday,09:00-12:00,Sample Instructor
BSCS 1-2,BSCS 1-2,FITT 1 - Movement Enhancement,Lecture,ITC 401,Friday,11:00-13:00,Sample Instructor
BSCS 1-2,BSCS 1-2,NSTP 1 - National Service Training Program 1,Lecture,ITC 201,Friday,07:00-10:00,Sample Instructor
