YearLevel,Section,Course,Session,Room,Day,Time,Instructor
BSCS 1-4,BSCS 1-4,COSC 50 - Discrete Structures I,Lecture,ITC 403,Wednesday,12:00-15:00,Mike Domingo
BSCS 1-4,BSCS 1-4,DCIT 21 - Introduction to Computing,Lecture,ITC 401,Tuesday,09:00-11:00,Kilo Dela Cruz
BSCS 1-4,BSCS 1-4,DCIT 21 - Introduction to Computing,Lab,CCL 402,Tuesday,08:00-11:00,November Sy
BSCS 1-4,BSCS 1-4,DCIT 22 - Computer Programming 1,Lecture,ITC 404,Tuesday,12:00-13:00,Delta Chua
BSCS 1-4,BSCS 1-4,CVSU 101 - Institutional Orientation,Lecture,ITC 201,Monday,09:00-10:00,Lima Salazar
BSCS 1-4,BSCS 1-4,GNED 02 - Ethics,Lecture,ITC 502,Thursday,08:00-11:00,Sample Instructor
BSCS 1-4,BSCS 1-4,GNED 05 - Purposive Communication,Lecture,ITC 403,Monday,13:00-16:00,Sample Instructor
BSCS 1-4,BSCS 1-4,GNED 11 - Kontekstwalisadong Komunikasyon sa Filipino,Lecture,ITC 403,Monday,10:00-13:00,Sample Instructor
BSCS 1-4,BSCS 1-4,FITT 1 - Movement Enhancement,Lecture,ITC 501,Saturday,14:00-16:00,Sample Instructor
BSCS 1-4,BSCS 1-4,NSTP 1 - National Service Training Program 1,Lecture,ITC 503,Saturday,07:00-10:00,Sample Instructor
