YearLevel,Section,Course,Session,Room,Day,Time,Instructor
BSIT 1-5,BSIT 1-5,COSC 50 - Discrete Structures I,Lecture,ITC 403,Tuesday,11:00-14:00,Tango Rosales
BSIT 1-5,BSIT 1-5,DCIT 21 - Introduction to Computing,Lecture,ITC 201,Tuesday,08:00-10:00,Sierra Ignacio
BSIT 1-5,BSIT 1-5,DCIT 21 - Introduction to Computing,Lab,CCL 402,Thursday,16:00-19:00,Sierra Ignacio
BSIT 1-5,BSIT 1-5,DCIT 22 - Computer Programming 1,Lecture,ITC 502,Tuesday,07:00-08:00,Echo Gonzales
BSIT 1-5,BSIT 1-5,CVSU 101 - Institutional Orientation,Lecture,ITC 505,Monday,07:00-08:00,Lima Salazar
BSIT 1-5,BSIT 1-5,GNED 02 - Ethics,Lecture,ITC 401,Thursday,09:00-12:00,Sample Instructor
BSIT 1-5,BSIT 1-5,GNED 05 - Purposive Communication,Lecture,ITC 502,Tuesday,10:00-13:00,Sample Instructor
BSIT 1-5,BSIT 1-5,GNED 11 - Kontekstwalisadong Komunikasyon sa Filipino,Lecture,ITC 201,Tuesday,07:00-10:00,Sample Instructor
BSIT 1-5,BSIT 1-5,FITT 1 - Movement Enhancement,Lecture,ITC 501,Friday,14:00-16:00,Sample Instructor
BSIT 1-5,BSIT 1-5,NSTP 1 - National Service Training Program 1,Lecture,ITC 502,Friday,11:00-14:00,Sample Instructor
