YearLevel,Section,Course,Session,Room,Day,Time,Instructor
BSCS 3-1,BSCS 3-1,COSC 75 - Software Engineering II,Lecture,OS,Tuesday,12:00-14:00,Juliet Lopez
BSCS 3-1,BSCS 3-1,COSC 75 - Software Engineering II,Lab,ITC 408,Wednesday,09:00-12:00,Juliet Lopez
BSCS 3-1,BSCS 3-1,COSC 80 - Operating Systems,Lecture,ITC 501,Tuesday,07:00-09:00,Juliet Lopez
BSCS 3-1,BSCS 3-1,COSC 80 - Operating Systems,Lab,CCL 202,Wednesday,10:00-13:00,Cheetah Alcaraz
BSCS 3-1,BSCS 3-1,COSC 85 - Networks and Communication,Lecture,ITC 401,Friday,16:00-18:00,Zulu Navarro
BSCS 3-1,BSCS 3-1,COSC 85 - Networks and Communication,Lab,CCL 305,Friday,12:00-15:00,Zulu Navarro
BSCS 3-1,BSCS 3-1,COSC 101 - CS Elective 1 (Computer Graphics and Visual Computing),Lecture,ITC 408,Wednesday,15:00-17:00,Badger Abad
BSCS 3-1,BSCS 3-1,COSC 101 - CS Elective 1 (Computer Graphics and Visual Computing),Lab,CCL 202,Monday,10:00-13:00,Badger Abad
BSCS 3-1,BSCS 3-1,DCIT 26 - Applications Development and Emerging Technologies,Lecture,ITC 501,Monday,07:00-09:00,Foxtrot Lim
BSCS 3-1,BSCS 3-1,DCIT 26 - Applications Development and Emerging Technologies,Lab,CCL 303,Wednesday,14:00-17:00,Zulu Navarro
BSCS 3-1,BSCS 3-1,DCIT 65 - Social and Professional Issues,Lecture,ITC 404,Wednesday,10:00-13:00,Charlie Mendoza
BSCS 3-1,BSCS 3-1,MATH 3 - Linear Algebra,Lecture,ITC 503,Wednesday,09:00-12:00,Sample Instructor
