YearLevel,Section,Course,Session,Room,Day,Time,Instructor
BSCS 1-6,BSCS 1-6,COSC 50 - Discrete Structures I,Lecture,ITC 503,Tuesday,08:00-11:00,Oscar Manalo
BSCS 1-6,BSCS 1-6,DCIT 21 - Introduction to Computing,Lecture,ITC 403,Tuesday,11:00-13:00,November Sy
BSCS 1-6,BSCS 1-6,DCIT 21 - Introduction to Computing,Lab,CCL 402,Monday,11:00-14:00,Quebec Padilla
BSCS 1-6,BSCS 1-6,DCIT 22 - Computer Programming 1,Lecture,ITC 402,Monday,12:00-13:00,Delta Chua
BSCS 1-6,BSCS 1-6,CVSU 101 - Institutional Orientation,Lecture,ITC 401,Tuesday,09:00-10:00,Lima Salazar
BSCS 1-6,BSCS 1-6,GNED 02 - Ethics,Lecture,ITC 502,Wednesday,07:00-10:00,Sample Instructor
BSCS 1-6,BSCS 1-6,GNED 05 - Purposive Communication,Lecture,ITC 201,Monday,07:00-10:00,Sample Instructor
BSCS 1-6,BSCS 1-6,GNED 11 - Kontekstwalisadong Komunikasyon sa Filipino,Lecture,ITC 504,Tuesday,07:00-10:00,Sample Instructor
BSCS 1-6,BSCS 1-6,FITT 1 - Movement Enhancement,Lecture,ITC 505,Saturday,12:00-14:00,Sample Instructor
BSCS 1-6,BSCS 1-6,NSTP 1 - National Service Training Program 1,Lecture,ITC 201,Friday,09:00-12:00,Sample Instructor
