YearLevel,Section,Course,Session,Room,Day,Time,Instructor
BSCS 1-1,BSCS 1-1,COSC 50 - Discrete Structures I,Lecture,ITC 505,Monday,09:00-12:00,Foxtrot Lim
BSCS 1-1,BSCS 1-1,DCIT 21 - Introduction to Computing,Lecture,ITC 502,Thursday,07:00-09:00,Kilo Dela Cruz
BSCS 1-1,BSCS 1-1,DCIT 21 - Introduction to Computing,Lab,CCL 402,Tuesday,12:00-15:00,Kilo Dela Cruz
BSCS 1-1,BSCS 1-1,DCIT 22 - Computer Programming 1,Lecture,ITC 501,Thursday,07:00-08:00,Delta Chua
BSCS 1-1,BSCS 1-1,CVSU 101 - Institutional Orientation,Lecture,ITC 505,Wednesday,15:00-16:00,India Ramos
BSCS 1-1,BSCS 1-1,GNED 02 - Ethics,Lecture,ITC 505,Thursday,09:00-12:00,Sample Instructor
BSCS 1-1,BSCS 1-1,GNED 05 - Purposive Communication,Lecture,ITC 408,Thursday,07:00-10:00,Sample Instructor
BSCS 1-1,BSCS 1-1,GNED 11 - Kontekstwalisadong Komunikasyon sa Filipino,Lecture,ITC 503,Tuesday,07:00-10:00,Sample Instructor
BSCS 1-1,BSCS 1-1,FITT 1 - Movement Enhancement,Lecture,ITC 502,Friday,07:00-09:00,Sample Instructor
BSCS 1-1,BSCS 1-1,NSTP 1 - National Service Training Program 1,Lecture,OS,Saturday,11:00-14:00,Sample Instructor
