YearLevel,Section,Course,Session,Room,Day,Time,Instructor
BSIT 1-1,BSIT 1-1,COSC 50 - Discrete Structures I,Lecture,ITC 201,Thursday,12:00-15:00,Tango Rosales
BSIT 1-1,BSIT 1-1,DCIT 21 - Introduction to Computing,Lecture,ITC 201,Tuesday,07:00-09:00,Quebec Padilla
BSIT 1-1,BSIT 1-1,DCIT 21 - Introduction to Computing,Lab,CCL 402,Monday,15:00-18:00,Quebec Padilla
BSIT 1-1,BSIT 1-1,DCIT 22 - Computer Programming 1,Lecture,ITC 408,Monday,08:00-09:00,Delta Chua
BSIT 1-1,BSIT 1-1,CVSU 101 - Institutional Orientation,Lecture,ITC 408,Monday,12:00-13:00,Lima Salazar
BSIT 1-1,BSIT 1-1,GNED 02 - Ethics,Lecture,OS,Wednesday,13:00-16:00,Sample Instructor
BSIT 1-1,BSIT 1-1,GNED 05 - Purposive Communication,Lecture,ITC 505,Wednesday,13:00-16:00,Sample Instructor
BSIT 1-1,BSIT 1-1,GNED 11 - Kontekstwalisadong Komunikasyon sa Filipino,Lecture,ITC 401,Tuesday,08:00-11:00,Sample Instructor
BSIT 1-1,BSIT 1-1,FITT 1 - Movement Enhancement,Lecture,ITC 408,Saturday,12:00-14:00,Sample Instructor
BSIT 1-1,BSIT 1-1,NSTP 1 - National Service Training Program 1,Lecture,ITC 201,Friday,10:00-13:00,Sample Instructor
