YearLevel,Section,Course,Session,Room,Day,Time,Instructor
BSCS 2-5,BSCS 2-5,COSC 55 - Discrete Structures II,Lecture,ITC 504,Wednesday,16:00-19:00,Uniform Fabros
BSCS 2-5,BSCS 2-5,COSC 60 - Digital Logic Design,Lecture,ITC 505,Tuesday,17:00-19:00,Badger Abad
BSCS 2-5,BSCS 2-5,COSC 60 - Digital Logic Design,Lab,CCL 305,Wednesday,10:00-13:00,Badger Abad
BSCS 2-5,BSCS 2-5,DCIT 50 - Object Oriented Programming,Lecture,ITC 501,Wednesday,10:00-12:00,Romeo Aquino
BSCS 2-5,BSCS 2-5,DCIT 50 - Object Oriented Programming,Lab,CCL 303,Wednesday,07:00-10:00,Romeo Aquino
BSCS 2-5,BSCS 2-5,DCIT 24 - Information Management,Lecture,ITC 201,Monday,08:00-10:00,Uniform Fabros
BSCS 2-5,BSCS 2-5,DCIT 24 - Information Management,Lab,CCL 306,Wednesday,07:00-10:00,Uniform Fabros
BSCS 2-5,BSCS 2-5,INSY 50 - Fundamentals of Information Systems,Lecture,ITC 401,Tuesday,09:00-12:00,Whiskey Santiago
BSCS 2-5,BSCS 2-5,GNED 04 - Mga Babasahin Hinggil sa Kasaysayan ng Pilipinas,Lecture,ITC 503,Wednesday,08:00-11:00,Sample Instructor
BSCS 2-5,BSCS 2-5,FITT 3 - Physical Activities towards Health and Fitness 1,Lecture,ITC 401,Saturday,14:00-16:00,Sample Instructor
BSCS 2-5,BSCS 2-5,MATH 1 - Analytic Geometry,Lecture,ITC 501,Wednesday,07:00-10:00,Sample Instructor
